"Authors","Article Title","Source Title","Publication Year","DOI","Document Type","Institution Address","Institution","Country"
"dos Santos, Germana D.; Gomes, Renata R.; Goncalves, Rosana; Fornari, Gheniffer; Maia, Beatriz H. L. N. S.; Schmidt-Dannert, Claudia; Gaascht, Francois; Glienke, Chirlei; Schneider, Gabriela X.; Colombo, Israella R.; Degenhardt-Goldbach, Juliana; Pietsch, Joao L. M.; Costa-Ribeiro, Magda C. V.; Vicente, Vania A.","Molecular Identification and Antimicrobial Activity of Foliar Endophytic Fungi on the Brazilian Pepper Tree (Schinus terebinthifolius) Reveal New Species of Diaporthe","CURRENT MICROBIOLOGY","2021.0","10.1007/s00284-021-02582-x","Article","Univ Fed Parana, Basic Pathol Dept, Microbiol Parasitol & Pathol Post Grad Program, BR-81531980 Curitiba, Parana, BrazilUniv Fed Parana, Undergrad Student Biomed, Curitiba, PR, BrazilUniv Fed Parana, Dept Chem, Curitiba, PR, BrazilUniv Minnesota, Dept Biochem Mol Biol & Biophys, Gortner Lab 140, 1479 Gortner Ave, St Paul, MN 55108 USABrazilian Agr Res Corp EMBRAPA Forestry, Colombo, PR, Brazil","Brazilian Agr Res Corp EMBRAPA Forestry","Brazil"
"Velazquez, Lidiana; Quinones, John; Diaz, Rommy; Pateiro, Mirian; Lorenzo, Jose Manuel; Sepulveda, Nestor","Natural Antioxidants from Endemic Leaves in the Elaboration of Processed Meat Products: Current Status","ANTIOXIDANTS","2021.0","10.3390/antiox10091396","Review","Univ La Frontera, Ctr Tecnol & Innovac Carne CTI Carne, Programa Doctorado Ciencias Agroalimentarias & Me, Temuco 4780000, ChileUniv La Frontera, Dept Ingn Quim, Fac Ingn & Ciencias, Temuco 4780000, ChileUniv La Frontera, Dept Ciencias Basicas, Fac Med, Temuco 4780000, ChileCtr Tecnol Carne Galicia, Avd Galicia 4,Parque Tecnol Galicia, San Cibrao Das Vinas 32900, Ourense, SpainUniv Vigo, Fac Ciencias Ourense, Area Tecnol Alimentos, Orense 32004, SpainUniv La Frontera, Dept Prod Agr, Fac Ciencias Agr & Forestales, Temuco 4780000, Chile","Ctr Tecnol Carne Galicia","Chile"
"Rabelo, Suzana Vieira; da Silva Oliveira, Fernanda Granja; Calixto de Lira, Michele Miriam; Dutra, Livia Macedo; Sartoratto, Adilson; Teixeira Duarte, Marta Cristina; dos Santos Luciano, Maria Claudia; Souza Silva, Maria Francilene; Pessoa, Claudia do O.; de Moraes Filho, Manoel Odorico; Costa, Emmanoel Vilaca; Guedes da Silva Almeida, Jackson Roberto","Non-Polar Chemical Constituents of Atemoya and Evaluation of the Cytotoxic and Antimicrobial Activity","PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY","2021.0","10.32604/phyton.2021.013305","Article","Univ Fed Rural Pernambuco, Postgrad Program Biotechnol RENORBIO, BR-52171900 Recife, PE, BrazilState Univ Feira de Santana, Postgrad Program Biotechnol, BR-44036900 Feira De Santana, BA, BrazilFed Univ San Francisco Valley, Ctr Studies & Res Med Plants NEPLAME, BR-56304205 Petrolina, PE, BrazilUniv Estadual Campinas, Multidisciplinary Ctr Chem Biol & Agr Res CPQBA, BR-13083970 Campinas, SP, BrazilUniv Fed Ceara, Natl Lab Expt Oncol LabNOE, BR-60020181 Fortaleza, Ceara, BrazilUniv Fed Amazonas, Dept Chem, BR-69067005 Manaus, Amazonas, Brazil","Fed Univ San Francisco Valley","Brazil"
"Pimentel-Betancurt, Diana C.; Tonello, Natalia, V; Padilla-Alvarez, Francisco; Paletti-Rovey, Maria F.; Oliva, Maria M.; Marioli, Juan M.","Oral and contact toxicity of the extract obtained with hexane from Achyrocline satureioides on larvae and adult honey bees","SPANISH JOURNAL OF AGRICULTURAL RESEARCH","2021.0","10.5424/sjar/2021193-16302","Article","Natl Univ Rio Cuarto, Fac Exact Phys Chem & Nat Sci, Dept Microbiol & Immunol, Rio Cuarto, ArgentinaNatl Univ Rio Cuarto, Fac Exact Phys Chem & Nat Sci, Dept Chem, Rio Cuarto, ArgentinaUniv Cordoba, Dept Zool, Campus Rabanales, Cordoba 14071, Spain",NA,"Argentina"
"Nascimento, Leandro S.; Nogueira-Souza, Pamella D.; Rocha-Junior, Jose R. S.; Monteiro-Machado, Marcos; Strauch, Marcelo A.; Prado, Simone A. L.; Melo, Paulo A.; Veiga-Junior, Valdir F.","Phytochemical composition, antisnake venom and antibacterial activities of ethanolic extract of Aegiphila integrifolia (Jacq) Moldenke leaves","TOXICON","2021.0","10.1016/j.toxicon.2021.05.004","Article","Mil Inst Engn, Chem Engn Sect, Rio De Janeiro, RJ, BrazilUniv Fed Rio de Janeiro, Pharmacol & Med Chem Program, Rio De Janeiro, RJ, BrazilInst Vital Brazil, Niteroi, RJ, BrazilUniv Fed Roraima, Dept Chem, Boa Vista, RR, Brazil","Mil Inst EngnInst Vital Brazil","Brazil"
"Munoz, Orlando; Tapia-Merino, Jorge; Nevermann, Wolf; San-Martin, Aurelio","Phytochemistry and biological properties of Drimys winteri JR et G. Forster var chilensis (DC) A","BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS","2021.0","10.37360/blacpma.21.20.5.33","Review","Univ Chile, Fac Ciencias, Dept Quim, Santiago, ChileUniv Bernardo OHiggins, Fac Salud, Dept Ciencias Quim & Biol, Santiago, ChileUniv Magallanes, Fac Ciencias, Dept Ciencias & Recursos Nat, Punta Arenas, Chile",NA,"Chile"
"Girotto, Lucas; Franco, Augusto C.; Nunez, Cecilia, V; Oliveira, Sarah C. C.; Scheffer de Souza, Maria C.; Fachin-Espinar, Maria T.; Ferreira, Cristiane S.","Phytotoxicity and allelopathic potential of extracts from rhizomes and leaves of Arundo donax, an invasive grass in neotropical savannas","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","2021.0","10.15835/nbha49312440","Article","Univ Brasilia, Dept Bot, BR-70910900 Brasilia, DF, BrazilNatl Inst Amazonian Res INPA, Lab Bioprospecting & Biotechnol, BR-69067375 Manaus, Amazonas, Brazil",NA,"Brazil"
"Costa Guimaraes, Sarah da Silva; Tavares, Derica Goncalves; Pereira Monteiro, Monica Cristina; Pedroso, Marcio Pozzobon; Nunes, Cleiton Antonio; Mourao, Barbara; e Carvalho, Iago Silva; Rodriguez Bardaji, Danae Kala; Baratella Cunha Camargo, Ilana Lopes; de Paula Lana, Ubiraci Gomes; Gomes, Eliane Aparecida; de Queiroz, Marisa Vieira; Pereira, Olinto Liparini; Cardoso, Patricia Gomes","Polyphasic characterization and antimicrobial properties of Induratia species isolated from Coffea arabica in Brazil","MYCOLOGICAL PROGRESS","2021.0","10.1007/s11557-021-01743-3","Article","Univ Fed Lavras, Dept Fitopatol, BR-37200900 Lavras, MG, BrazilUniv Fed Lavras, Dept Biol, BR-37200900 Lavras, MG, BrazilUniv Fed Lavras, Dept Quim, BR-37200900 Lavras, MG, BrazilUniv Fed Lavras, Dept Ciencias Alimentos, BR-37200900 Lavras, MG, BrazilUniv Sao Paulo, Inst Fis Sao Carlos, Dept Fis & Ciencia Interdiciplinar, BR-13563120 Sao Carlos, SP, BrazilEmpresa Brasileira Pesquisa Agr, Sete Lagoas, Embrapa Milho & Sorgo, BR-35701970 Lagoas, MG, BrazilUniv Fed Vicosa, Dept Microbiol, BR-36570900 Vicosa, MG, BrazilUniv Fed Vicosa, Dept Fitopatol, BR-36570900 Vicosa, MG, Brazil",NA,"Brazil"
"dos Santos, Vera Lucia Pereira; Rodrigues, Izabelle Cristina Garcia; Berte, Rodrigo; Raman, Vijayasankar; Messias-Reason, Iara Jose; Budel, Jane Manfron","Review of Piper species growing in the Brazilian State of Parana with emphasize on the vegetative anatomy and biological activities","BOTANICAL REVIEW","2021.0","10.1007/s12229-020-09239-7","Review","Ctr Univ Int Uninter, Escola Super Saude Biociencia Meio Ambiente & Hum, Curitiba, Parana, BrazilUniv Mississippi, Sch Pharm, Natl Ctr Nat Prod Res, University, MS 38677 USAUniv Fed Parana, Dept Patol Med, Curitiba, Parana, BrazilUniv Estadual Ponta Grossa, Programa Posgrad Ciencias Farmaceut, Ponta Grossa, Parana, Brazil","Ctr Univ Int Uninter","Brazil"
"Matarrita-Carranza, Bernal; Murillo-Cruz, Catalina; Avendano, Roberto; Rios, Maria Isabel; Chavarria, Max; Gomez-Calvo, Maria Luisa; Tamayo-Castillo, Giselle; Araya, Juan J.; Pinto-Tomas, Adrian A.","Streptomyces sp. M54: an actinobacteria associated with a neotropical social wasp with high potential for antibiotic production","ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY","2021.0","10.1007/s10482-021-01520-y","Article","Org Trop Studies, Selva Res Stn, San Jose 6762050, Costa RicaUniv Costa Rica, Ctr Invest Estruct Microscop CIEMic, San Jose 115012060, Costa RicaUniv Costa Rica, Dept Bioquim, Escuela Med, San Jose 115012060, Costa RicaCeNAT CONARE, Ctr Nacl Innovac Biotecnol CENIBiot, San Jose 11741200, Costa RicaUniv Costa Rica, Ctr Invest Prod Nat CIPRONA, San Jose 115012060, Costa RicaUniv Costa Rica, Escuela Quim, San Jose 115012060, Costa RicaUniv Costa Rica, Ctr Invest Biol Celular & Mol CIBCM, San Jose 115012060, Costa Rica","Org Trop StudiesCeNAT CONARE","Other"
"Ateba, Sylvin Benjamin; Njamen, Dieudonne; Krenn, Liselotte","The Genus Eriosema (Fabaceae): From the Ethnopharmacology to an Evidence-Based Phytotherapeutic Perspective?","FRONTIERS IN PHARMACOLOGY","2021.0","10.3389/fphar.2021.641225","Review","Univ Douala, Fac Sci, Dept Biol Anim Organisms, Douala, CameroonUniv Yaounde I, Fac Sci, Dept Anim Biol & Physiol, Lab Anim Physiol, Yaounde, CameroonUniv Vienna, Dept Pharmacognosy, Vienna, Austria","Univ Douala","Other"
"Macedo, Julimery Goncalves Ferreira; Rangel, Juliana Melo Linhares; Santos, Maria de Oliveira; Camilo, Cicera Janaine; da Costa, Jose Galberto Martins; Souza, Marta Maria de Almeida","Therapeutic indications, chemical composition and biological activity of native Brazilian species from Psidium genus (Myrtaceae): A review","JOURNAL OF ETHNOPHARMACOLOGY","2021.0","10.1016/j.jep.2021.114248","Review","Univ Reg Cariri, Dept Ciencias Biol, Lab Ecol Vegetal, CE, BR-63105000 Crato, CE, BrazilUniv Reg Cariri, Dept Quim Biol, Lab Pesquisa Prod Nat, BR-63105000 Crato, CE, Brazil",NA,"Brazil"
"Sedano-Partida, Martha Dalila; dos Santos, Katia Pereira; Sala-Carvalho, Wilton Ricardo; Silva-Luz, Cintia Luiza; Furlan, Claudia M.","A review of the phytochemical profiling and biological activities of Hyptis Jacq.: a Brazilian native genus of Lamiaceae","BRAZILIAN JOURNAL OF BOTANY","2020.0","10.1007/s40415-020-00582-y","Review","Univ Sao Paulo, Inst Biosci, Dept Bot, Rua Matao 277, BR-05508090 Sao Paulo, SP, Brazil",NA,"Brazil"
"de Lima, Andreia Saldanha; Maia, Darla Volcan; Haubert, Louise; Oliveira, Thais Larre; Fiorentini, Angela Maria; Rombaldi, Cesar Valmor; da Silva, Wladimir Padilha","Action mechanism of araca (Psidium cattleianum Sabine) hydroalcoholic extract against Staphylococcus aureus","LWT-FOOD SCIENCE AND TECHNOLOGY","2020.0","10.1016/j.lwt.2019.108884","Article","Univ Fed Pelotas UFPel, Fac Agron Eliseu Maciel, DCTA, Pelotas, RS, BrazilUniv Fed Pelotas UFPel, Ctr Desenvolvimento Tecnol, Nucleo Biotecnol, Pelotas, RS, Brazil",NA,"Brazil"
"Meneses, Juliana Oliveira; dos Santos Cunha, Fernanda; Dias, Joel Artur Rodrigues; da Cunha, Ana Flavia Santos; dos Santos, Francisco Jose; da Costa Sousa, Natalino; do Couto, Marcia Valeria Silva; Paixao, Peterson Emmanuel Guimaraes; Abe, Higo Andrade; dos Santos Lima, Bruno; de Carvalho Neto, Antonio Guilherme; de Souza Araujo, Adriano Antunes; da Costa, Luiz Pereira; Cardoso, Juliana Cordeiro; Fujimoto, Rodrigo Yudi","Acute toxicity of hot aqueous extract from leaves of theTerminalia catappain juvenile fishColossoma macropomum","AQUACULTURE INTERNATIONAL","2020.0","10.1007/s10499-020-00596-z","Article","Univ Tiradentes, Post Grad Program Hlth & Environm, Aracaju, Sergipe, BrazilFed Univ Para, Post Grad Program Anim Sci, Belem, Para, BrazilUniv Tiradentes, Post Grad Program Biotechnol, Aracaju, Sergipe, BrazilBrazilian Agr Res Corp, Aracaju, Sergipe, BrazilUniv Fed Sergipe, Dept Pharm, Sao Cristovao, Sergipe, BrazilAmazon Fed Univ, Inst Exact Sci & Technol ICET, Manaus, Amazonas, BrazilTechnol & Res Inst ITP, Aracaju, Sergipe, Brazil","Amazon Fed UnivTechnol & Res Inst ITP","Brazil"
"Lorena Carrizo, Silvana; Catiana Zampini, Iris; Esteban Sayago, Jorge; Juan Simirgiotis, Mario; Borquez, Jorge; Soledad Cuello, Ana; Ines Isla, Maria","Antifungal activity of phytotherapeutic preparation of Baccharis species from argentine Puna against clinically relevant fungi","JOURNAL OF ETHNOPHARMACOLOGY","2020.0","10.1016/j.jep.2020.112553","Article","UNT, CONICET, Inst Bioprospecc & Fisiol Vegetal INBIOFIV, San Lorenzo 1469, RA-4000 San Miguel De Tucuman, Tucuman, ArgentinaUniv Nacl Tucuman, Fac Ciencias Nat, Miguel Lillo 205, RA-4000 San Miguel De Tucuman, Tucuman, ArgentinaUniv Nacl Tucuman, IML, Miguel Lillo 205, RA-4000 San Miguel De Tucuman, Tucuman, ArgentinaUniv Nacl Tucuman, Fac Bioquim Quim & Farmacia, Ayacucho 471, RA-4000 San Miguel De Tucuman, Tucuman, ArgentinaUniv Austral Chile, Inst Farm, Campus Isla Teja, Valdivia 5090000, ChileUniv Antofagasta, Fac Ciencias Basicas, Dept Quim, Lab Prod Nat, Casilla 170, Antofagasta 1240000, Chile",NA,"Argentina"
"Oliveira-Junior, Jorge Belem; da Silva, Everton Morais; Veras, Dyana Leal; Cardoso Ribeiro, Karla Raiza; de Freitas, Catarina Fernandes; Gomes de Lima, Fernanda Cristina; Chavez Gutierrez, Stanley Juan; Camara, Celso Amorim; Barbosa-Filho, Jose Maria; Alves, Luiz Carlos; Brayner, Fabio Andre","Antimicrobial activity and biofilm inhibition of riparins I, II and III and ultrastructural changes in multidrug-resistant bacteria of medical importance","MICROBIAL PATHOGENESIS","2020.0","10.1016/j.micpath.2020.104529","Article","Inst Aggeu Magalhaes FIOCRUZ PE, Dept Parasitol, Lab Mol & Cellular Biol, Av Prof Moraes Rego S-N,Cidade Univ, BR-50670420 Recife, PE, BrazilUniv Fed Piaui, Pharm Course Coordinat, Campus Univ Ministro Petronio Portela SG-8, BR-64049550 Teresina, PI, BrazilRural Fed Univ Pernambuco, Dept Chem, Rua Dom Manuel de Medeiros S-N, BR-52171900 Recife, PE, BrazilUniv Fed Paraiba, Lab Pharmaceut Technol, Campus 1 Lot Cidade Univ, BR-58051900 Joao Pessoa, Paraiba, BrazilUniv Fed Pernambuco, Lab Immunopathol Keizo Asami, Elect Microscopy, Av Prof Moraes Rego 1235,Cidade Univ, BR-50670901 Recife, PE, Brazil","Inst Aggeu Magalhaes FIOCRUZ PE","Brazil"
"Viktorova, Jitka; Kumar, Rohitesh; Rehorova, Katerina; Hoang, Lan; Ruml, Tomas; Figueroa, Carlos R.; Valdenegro, Monika; Fuentes, Lida","Antimicrobial Activity of Extracts of Two Native Fruits of Chile: Arrayan (Luma apiculata) and Peumo (Cryptocarya alba)","ANTIBIOTICS-BASEL","2020.0","10.3390/antibiotics9080444","Article","Univ Chem & Technol Prague, Dept Biochem & Microbiol, Prague 16628, Czech RepublicUniv Talca, Inst Biol Sci, Campus Talca, Talca 3465548, ChilePontificia Univ Catolica Valparaiso, Fac Agron & Food Sci, Agron Sch, Quillota 2260000, ChileCONICYT Reg GORE Valparaiso Project, Reg Ctr Studies Hlth Food CREAS, R17A10001,Ave Univ, Valparaiso 2340000, Chile","CONICYT Reg GORE Valparaiso Project","Chile"
"Szawarski, Nicolas; Gimenez-Martinez, Pablo; Mitton, Giulia; Negri, Pedro; Meroi Arcerito, Facundo; Moline, Maria P.; Fuselli, Sandra; Eguaras, Martin; Lamattina, Lorenzo; Maggi, Matias","Antimicrobial activity of indoleacetic, gibberellic and coumaric acids against Paenibacillus larvae and its toxicity against Apis mellifera","SPANISH JOURNAL OF AGRICULTURAL RESEARCH","2020.0","10.5424/sjar/2020181-15158","Article","Univ Nacl Mar del Plata UNMdP, Ctr Invest Abejas Sociales CIAS, Inst Invest Prod Sanidad & Ambiente, CONICET,IIPROSAM, Mar Del Plata, ArgentinaAgencia Nacl Promoc Cient & Tecnol, Buenos Aires, DF, ArgentinaUniv Nacl Mar del Plata UNMdP, Inst Invest Fis Mar del Plata, Mar Del Plata, ArgentinaComis Invest Cient Prov Buenos Aires CIC, La Plata, ArgentinaUniv Nacl Mar del Plata UNMdP, Inst Invest Biol IIB, CONICET, Mar Del Plata, Argentina","Agencia Nacl Promoc Cient & Tecnol","Argentina"
"Vasconcelos, Nathalie Gaebler; Mattos Vaz, Marcia Soares; Santos Radai, Joyce Alencar; Leite Kassuya, Candida Aparecida; Nazari Formagio, Anelise Samara; Graciani, Fernanda Silva; Leal, Maria Lorenza; Oliveira, Rodrigo Juliano; da Silva, Kesia Esther; Croda, Julio; Simionatto, Simone","Antimicrobial activity of plant extracts against carbapenem-producingKlebsiella pneumoniaeandin vivotoxicological assessment","JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES","2020.0","10.1080/15287394.2020.1824135","Article","Univ Fed Grande Dourados UFGD, Lab Pesquisa Ciencias Saude, Dourados, MS, BrazilUniv Fed Mato Grosso do Sul UFMS, Fac Med, Campo Grande, MS, BrazilFundacao Osvaldo Cruz FIOCRUZ, Campo Grande, MS, Brazil",NA,"Brazil"
"Silva, Jose Givanildo da; Barros, Mariana de; Santos, Nataly Diniz de Lima; Paiva, Patricia Maria Guedes; Napoleao, Thiago Henrique; Sena, Maria Jose de; Costa, Mateus Matiuzzi da; Oliveira, Helinando Pequeno de; Moreira, Maria Aparecida Scatamburlo; Mota, Rinaldo Aparecido","Antimicrobial activity of polypyrrole nanoparticles and aqueous extract of Moringa oleifera against Staphylococcus spp. carriers of multi-drug efflux system genes isolated from dairy farms","JOURNAL OF DAIRY RESEARCH","2020.0","10.1017/S0022029920000874","Article","Univ Fed Rural Pernambuco, Lab Doencas Infectocontagiosas Anim Domest, Av Dom Manoel Medeiros S-N, BR-52171900 Recife, PE, BrazilUniv Fed Vicosa, Dept Vet, Lab Doencas Bacterianas, Campus UFV, BR-36570900 Vicosa, MG, BrazilUniv Fed Pernambuco, Dept Bioquim, Lab Bioquim Prot, Av Prof Moraes Rego 1235,Cidade Univ, BR-50670901 Recife, PE, BrazilUniv Fed Vale Sao Francisco, Lab Microbiol & Imunol Anim, Rodovia BR-407 Km 12,Lote 543,C1, BR-56300000 Petrolina, PE, Brazil",NA,"Brazil"
"De Oliveira, Divania F. F.; Nascimento, Thiago P.; Rodrigues, Claudio Henrique; Batista, Juanize M. S.; Liu, Tatiana P. S. L.; De Medeiros, Elizabeth S.; Mota, Rinaldo A.; Costa, Romero Marcos P. B.; Porto, Tatiana S.; Porto, Camila S.; Porto, Ana Lucia F.","Antimicrobial potential of Copaiba Oil (Copaifera multijuga Hayne-Leguminosae) against bubaline mastitis multiresistant isolates","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","2020.0","10.1590/0001-3765202020200521","Article","Univ Pernambuco, Fac Teacher Educ Nazare da Mata, St Prof Amer Brandao 43, BR-55800000 Nazare Da Mata, PE, BrazilUniv Fed Rural Pernambuco, Lab Bioact Prod & Technol, Dept Morphol & Anim Physiol Anim, Av Dom Manoel de Medeiros S-N, BR-50670901 Recife, PE, BrazilUniv Fed Pernambuco, Dept Pharmaceut Sci, Av Prof Moraes Rego 1235,Cidade Univ, BR-50670901 Recife, PE, BrazilUniv Fed Rural Pernambuco, Dept Vet Med, Av Dom Manoel de Medeiros S-N, BR-50670901 Recife, PE, BrazilUniv Pernambuco, Lab Adv Prot Biotechnol LABIOPROT, Inst Biol Sci, St Arnobio Marques 310, BR-50100130 Recife, PE, BrazilUniv Fed Rural Pernambuco, Acad Unit Garanhuns, UAG, Av Bom Pastor S-N, BR-55296901 Garanhuns, PE, BrazilUniv Fed Alagoas, Arapiraca Campus,Av Beira Rio S-N, BR-50200000 Penedo, AL, Brazil",NA,"Brazil"
"De Jesus, Genilson S.; Micheletti, Ana C.; Takahashi, Karen M.; Matayoshi, Tatiana; Pott, Arnildo; Yoshida, Nidia C.","Antimicrobial potential of Pectis substriata essential oil (Asteraceae) against drug-resistant Staphylococcus strains","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","2020.0","10.1590/0001-3765202020200456","Article","Univ Fed Mato Grosso do Sul, Inst Quim, Av Senador Filinto Muller 1555, BR-79074460 Campo Grande, MS, BrazilUniv Fed Mato Grosso do Sul, Fac Engenharias Arquitetura & Urbanismo & Geog, Rua Cesar Ramos Santos 346,Cidade Univ, BR-79052564 Campo Grande, MS, BrazilUniv Fed Mato Grosso do Sul, Inst Biociencias, Av Costa & Silva S-N,Cidade Univ, BR-79002970 Campo Grande, MS, Brazil",NA,"Brazil"
"Bonin, Edineia; Carvalho, Venicio Macedo; Avila, Vicente Diaz; Aparecida dos Santos, Naiara Caroline; Benassi-Zanqueta, Erica; Contreras Lancheros, Cesar Armando; Santos Previdelli, Isolde Terezinha; Ueda-Nakamura, Tania; de Abreu Filho, Benicio Alves; do Prado, Ivanor Nunes","Baccharis dracunculifolia: Chemical constituents, cytotoxicity and antimicrobial activity","LWT-FOOD SCIENCE AND TECHNOLOGY","2020.0","10.1016/j.lwt.2019.108920","Article","Univ Estadual Maringa, Post Grad Program Food Sci, Av Colombo 5790, BR-87020900 Maringa, Parana, BrazilUniv Estadual Maringa, Post Grad Program Anim Sci, Av Colombo 5790, BR-87020900 Maringa, Parana, BrazilUniv Estadual Maringa, Post Grad Program Bioestat, Av Colombo 5790, BR-87020900 Maringa, Parana, BrazilUniv Estadual Maringa, Pos Grad Program Pharmaceut Sci, Av Colombo 5790, BR-87020900 Maringa, Parana, BrazilUniv Estadual Londrina, Post Grad Program Microbiol, Rodovia Celso Garcia Cid Pr 445 Km 380, BR-86057970 Londrina, Parana, BrazilUniv Estadual Maringa, Dept Bioestat, Av Colombo 5790, BR-8702090 Maringa, Parana, BrazilUniv Estadual Maringa, Dept Basic Hlth Sci, Av Colombo 5790, BR-87020900 Maringa, Parana, BrazilUniv Estadual Maringa, Dept Anim Sci, Av Colombo 5790, BR-87020900 Maringa, Parana, Brazil",NA,"Brazil"
"Savi, Aline; Calegari, Matheus Augusto; Calegari, Gabrielle Cristina; Queiroz Santos, Vidiany Aparecida; Wermuth, Denise; Alves da Cunha, Mario Antonio; Cadorin Oldoni, Tatiane Luiza","Bioactive compounds from Syzygium malaccense leaves: optimization of the extraction process, biological and chemical characterization","ACTA SCIENTIARUM-TECHNOLOGY","2020.0","10.4025/actascitechnol.v42i1.46773","Article","Univ Fed Tecnol Parana, Dept Quim, Via Conhecimento S-N,Km 1, BR-85503390 Pato Branco, Parana, Brazil","Univ Fed Tecnol Parana","Brazil"
"Luna, M. S. M.; de Paula, R. A.; Brandao Costa, R. M. P.; dos Anjos, J., V; da Silva, M., V; Correia, M. T. S.","Bioprospection of Libidibia ferrea var . ferrea : Phytochemical properties and antibacterial activity","SOUTH AFRICAN JOURNAL OF BOTANY","2020.0","10.1016/j.sajb.2019.12.013","Article","Fed Univ Pernambuco UFPE, Ctr Biol Sci, Dept Biochem, Av Prof Moraes Rego S-N, BR-50670420 Recife, PE, BrazilFed Rural Univ Pernambuco UFRPE, Lab Technol Bioact Prod, Dom Manoel de Medeiros St S-N, BR-52171900 Recife, PE, BrazilFed Univ Pernambuco UFPE, Dept Fundamental Chem, Ctr Exact Sci & Nat, Av Prof Moraes Rego S-N, BR-50740560 Recife, PE, Brazil",NA,"Brazil"
"Cardoso, V. M.; Campos, F. F.; Santos, A. R. O.; Ottoni, M. H. F.; Rosa, C. A.; Almeida, V. G.; Grael, C. F. F.","Biotechnological applications of the medicinal plant Pseudobrickellia brasiliensis and its isolated endophytic bacteria","JOURNAL OF APPLIED MICROBIOLOGY","2020.0","10.1111/jam.14666","Article","Univ Fed Vales Jequitinhonha & Mucuri, Dept Farm, Campus JK,Rodovia MGT 367,Km 583,5000, BR-39100000 Diamantina, MG, BrazilUniv Fed Vales Jequitinhonha & Mucuri, Fac Med, Diamantina, MG, BrazilUniv Fed Minas Gerais, Dept Microbiol, ICB, CP 486, Belo Horizonte, MG, Brazil",NA,"Brazil"
"Quintino, Ricardo Lanzellotti; Reis, Ana Carolina; Fernandes, Cassia Cristina; Gomes Martins, Carlos Henrique; Colli, Ana Carla; Miller Crotti, Antonio Eduardo; Squarisi, Lara Silva; Ribeiro, Arthur Barcelos; Tavares, Denise Crispim; Dantas Miranda, Mayker Lazaro","Brazilian Green Propolis: Chemical Composition of Essential Oil and Their In Vitro Antioxidant, Antibacterial and Antiproliferative Activities","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY","2020.0","10.1590/1678-4324-2020190408","Article","Fed Inst Educ Sci & Technol South Minas Gerais, Pouso Alegre Campus, Pouso Alegre, MG, BrazilGoiano Fed Inst, Rio Verde Campus, Rio Verde, Go, BrazilUniv Fed Uberlandia, Uberlandia, MG, BrazilUniv Sao Paulo, Ribeirao Preto, SP, BrazilUniv Franca, Franca, SP, BrazilFed Inst Educ Sci & Technol Triangulo Mineiro, Uberlandia Ctr Campus, Uberlandia, MG, Brazil","Fed Inst Educ Sci & Technol Triangulo Mineiro","Brazil"
"Andrade, Gessica; Orlando, Haniel Chadwick Silva; Scorzoni, Liliana; Pedroso, Reginaldo Santos; Abrao, Fariza; Carvalho, Marco Tulio Menezes; Veneziani, Rodrigo Cassio Sola; Ambrosio, Sergio Ricardo; Bastos, Jairo Kenupp; Mendes-Giannini, Maria Jose Soares; Martins, Carlos Henrique Gomes; Pires, Regina Helena","BrazilianCopaiferaSpecies: Antifungal Activity against Clinically RelevantCandidaSpecies, Cellular Target, and In Vivo Toxicity","JOURNAL OF FUNGI","2020.0","10.3390/jof6030153","Article","Univ Franca, BR-14404600 Franca, SP, BrazilSao Paulo State Univ UNESP, Sch Pharmaceut Sci, BR-14801902 Araraquara, SP, BrazilSao Paulo State Univ UNESP, Sci & Technol Inst Sao Jose dos Campos ICT, BR-12245000 Sao Jose Dos Campos, BrazilUniv Fed Uberlandia, Hlth Tech Sch ESTES, BR-38400732 Uberlandia, MG, BrazilUniv Sao Paulo, Fac Pharmaceut Sci Ribeirao Preto, BR-14040903 Ribeirao Preto, BrazilUniv Fed Uberlandia, Inst Biomed Sci ICBIM, BR-38400902 Uberlandia, MG, Brazil",NA,"Brazil"
"Chaves-Lopez, Clemencia; Rossi, Chiara; Maggio, Francesca; Paparella, Antonello; Serio, Annalisa","Changes Occurring in Spontaneous Maize Fermentation: An Overview","FERMENTATION-BASEL","2020.0","10.3390/fermentation6010036","Review","Univ Teramo, Fac Biosci & Technol Food Agr & Environm, Via R Balzarini 1, I-64100 Teramo, TE, Italy",NA,"Italy"
